Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes
Shanu's Food Shop,New Delhi,"North Indian, Chinese, Fast Food",450,No,Yes,1,2.8,Orange,Average,13
Bigbee,New Delhi,Bakery,100,No,No,1,0.0,White,Not rated,0
Delhi 6 Cafe,New Delhi,"Chinese, South Indian",300,No,No,1,0.0,White,Not rated,0
Lala Ji Sweets,New Delhi,"Mithai, Street Food",300,No,No,1,0.0,White,Not rated,0
MK's Chinese Food,New Delhi,"Chinese, Fast Food",250,No,No,1,0.0,White,Not rated,0
Nirvana The Divine Kitchen,New Delhi,"North Indian, Chinese",700,No,No,2,0.0,White,Not rated,0
Preechen,New Delhi,"North Indian, Fast Food",400,No,No,1,0.0,White,Not rated,0
Rahul Eggs,New Delhi,"Fast Food, South Indian",400,No,No,1,4.2,Green,Very Good,762
7 Stick,New Delhi,"Pizza, Fast Food",250,No,No,1,2.8,Orange,Average,8
Aashirwad Restaurant,New Delhi,"North Indian, Chinese",400,No,Yes,1,2.6,Orange,Average,5
Amar Bakery,New Delhi,"Fast Food, Mithai, Bakery",250,No,No,1,3.3,Orange,Average,13
Apni Rasoi,New Delhi,North Indian,400,No,No,1,3.1,Orange,Average,24
Baked Buns,New Delhi,Fast Food,500,No,Yes,2,3.1,Orange,Average,18
Banspi,New Delhi,Chinese,350,No,No,1,2.9,Orange,Average,13
Benchmark,New Delhi,"Chinese, Continental, Mexican",500,No,No,2,2.8,Orange,Average,14
Bobby Tikki Wala,New Delhi,Street Food,250,No,No,1,3.0,Orange,Average,74
Cafe Coffee Day,New Delhi,Cafe,450,No,No,1,2.7,Orange,Average,18
Cafe Coffee Day,New Delhi,Cafe,450,No,No,1,2.8,Orange,Average,14
Canteeno,New Delhi,"North Indian, Chinese",200,No,No,1,3.0,Orange,Average,7
Chai Mantra,New Delhi,"Fast Food, Beverages",200,No,No,1,3.2,Orange,Average,15
Chandni Chowk ke Mashhoor Makkhan Wale Paranthe,New Delhi,North Indian,200,No,No,1,2.8,Orange,Average,9
Chandni Chowk Parantha Corner,New Delhi,North Indian,100,No,No,1,3.1,Orange,Average,8
Chauhan Laxmi Sweets,New Delhi,Mithai,150,No,No,1,3.0,Orange,Average,11
Chawla's The Cake Room,New Delhi,"Bakery, Fast Food, Beverages",250,No,Yes,1,3.4,Orange,Average,17
China Town,New Delhi,Chinese,250,No,No,1,2.9,Orange,Average,11
Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,2,2.6,Orange,Average,46
Faasos,New Delhi,"North Indian, Fast Food",600,No,Yes,2,2.6,Orange,Average,10
Fast Trax,New Delhi,Fast Food,250,No,Yes,1,3.2,Orange,Average,4
Finger Licious,New Delhi,"Bakery, Fast Food",200,No,Yes,1,3.4,Orange,Average,188
Gulshan Pastry Shop,New Delhi,Bakery,200,No,No,1,3.0,Orange,Average,9
Handa's,New Delhi,"North Indian, Chinese",500,No,Yes,2,2.6,Orange,Average,8
Homely Delight,New Delhi,"Mughlai, Biryani",400,No,No,1,3.1,Orange,Average,7
Jahangeer Foods,New Delhi,"North Indian, Mughlai",500,No,Yes,2,2.7,Orange,Average,64
Kaleva,New Delhi,"North Indian, Mithai",400,No,No,1,3.3,Orange,Average,61
Laxmi Vaishno Dhaba,New Delhi,North Indian,300,No,No,1,3.0,Orange,Average,13
Little Pleasure Restaurant & Cafe,New Delhi,"North Indian, Chinese",600,No,No,2,2.9,Orange,Average,7
Mauryan Multi Cuisine Restaurant,New Delhi,"North Indian, Chinese",900,No,Yes,2,3.4,Orange,Average,31
Mehta Food Junction,New Delhi,"North Indian, South Indian",300,No,Yes,1,3.0,Orange,Average,8
Om Bikaner Wale,New Delhi,"Mithai, Street Food",200,No,No,1,2.8,Orange,Average,8
Ovenstory Pizza,New Delhi,"Pizza, Fast Food",500,No,Yes,2,2.9,Orange,Average,17
Prasadam,New Delhi,"South Indian, Fast Food",400,No,No,1,2.8,Orange,Average,34
Priyanshi Fast Food,New Delhi,South Indian,300,No,No,1,3.3,Orange,Average,29
Punjabi Tadka,New Delhi,North Indian,350,No,No,1,3.1,Orange,Average,21
Pyaali,New Delhi,"Fast Food, Tea",200,No,Yes,1,2.8,Orange,Average,7
Ruby Dhaba,New Delhi,North Indian,500,No,No,2,2.7,Orange,Average,25
Shree Manakamna Fast Food,New Delhi,Chinese,300,No,No,1,3.4,Orange,Average,31
The Chinese Hut,New Delhi,"Chinese, Fast Food",350,No,No,1,3.0,Orange,Average,10
The Chinese Hut,New Delhi,"Chinese, Fast Food",300,No,Yes,1,3.2,Orange,Average,23
The Chinese Kitchen,New Delhi,Chinese,350,No,No,1,3.1,Orange,Average,7
Twenty Four Seven,New Delhi,Fast Food,250,No,No,1,3.1,Orange,Average,13
Vegie Kitchen,New Delhi,"Chinese, North Indian",250,No,No,1,3.1,Orange,Average,10
Behrouz Biryani,New Delhi,Biryani,600,No,Yes,2,3.5,Yellow,Good,22
Burger King,New Delhi,"Burger, Fast Food",500,No,Yes,2,3.5,Yellow,Good,66
Mohit di Hatti,New Delhi,Street Food,200,No,No,1,3.8,Yellow,Good,70
Play Pizza,New Delhi,"Italian, Pizza",600,No,Yes,2,3.8,Yellow,Good,270
Sushiya Express,New Delhi,"Sushi, Asian",800,No,Yes,2,3.7,Yellow,Good,40
Tantrum Coffee Bar,New Delhi,"Cafe, Pizza",500,No,No,2,3.5,Yellow,Good,54
Chawla's Tandoori Junction,New Delhi,"North Indian, Mughlai",500,No,No,2,0.0,White,Not rated,3
Chennai Express Greens,New Delhi,South Indian,250,No,No,1,0.0,White,Not rated,0
Omi Pizza,New Delhi,Fast Food,350,No,No,1,0.0,White,Not rated,0
South Indian & Chinese Fast Food,New Delhi,"South Indian, Chinese, Fast Food",350,No,No,1,0.0,White,Not rated,0
The Khoj Cafe Restaurent,New Delhi,"Chinese, North Indian",300,No,No,1,0.0,White,Not rated,0
Bharat Chicken Inn,New Delhi,"Mughlai, Fast Food, North Indian",800,No,Yes,2,2.4,Red,Poor,41
Nathu's Sweets,New Delhi,"North Indian, South Indian, Street Food, Chinese, Fast Food, Mithai",400,No,Yes,1,2.1,Red,Poor,121
Wah Ji Wah,New Delhi,"North Indian, Chinese",500,No,Yes,2,2.2,Red,Poor,120
QD's Restaurant,New Delhi,"Chinese, North Indian, Fast Food, Italian",800,No,Yes,2,4.1,Green,Very Good,675
Henri's Bar - Le Meridien,New Delhi,Finger Food,2000,No,No,4,3.3,Orange,Average,20
Le Belvedere - Le Meridien,New Delhi,Chinese,5000,Yes,No,4,3.5,Yellow,Good,114
Longitude - Le Meridien,New Delhi,Cafe,2000,No,No,4,3.9,Yellow,Good,90
Nero - Le Meridien,New Delhi,Finger Food,3000,Yes,No,4,3.5,Yellow,Good,39
The One - Le Meridien,New Delhi,Continental,4500,Yes,No,4,3.8,Yellow,Good,273
Eau De Monsoon - Le Meridien,New Delhi,"Continental, European, North Indian, French",4500,Yes,No,4,4.0,Green,Very Good,189
Slounge - Lemon Tree Premier,New Delhi,North Indian,1000,Yes,No,3,3.5,Yellow,Good,26
Al Bake,New Delhi,"North Indian, Chinese",600,No,No,2,2.5,Orange,Average,66
Al-Bawarchi,New Delhi,"North Indian, Mughlai, Chinese",650,No,No,2,3.1,Orange,Average,15
Big Dragon,New Delhi,"Chinese, Thai",650,No,No,2,3.1,Orange,Average,81
BTW,New Delhi,"North Indian, Street Food, South Indian, Mithai",400,No,No,1,3.3,Orange,Average,205
Capital Curry,New Delhi,"North Indian, Mughlai",1000,Yes,No,3,3.1,Orange,Average,54
Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,2,2.5,Orange,Average,81
Ekta's Kitchen,New Delhi,"North Indian, Mughlai, Chinese",650,No,Yes,2,3.2,Orange,Average,67
Gopal's,New Delhi,"Ice Cream, Street Food",150,No,No,1,2.9,Orange,Average,8
Moti Mahal Delux,New Delhi,"North Indian, Mughlai, Chinese",1000,Yes,Yes,3,2.6,Orange,Average,72
Open Oven,New Delhi,"Bakery, Desserts, Fast Food",250,No,No,1,3.4,Orange,Average,51
Relax Xpress,New Delhi,"North Indian, Mughlai, Chinese",700,No,Yes,2,3.2,Orange,Average,75
Roll Club,New Delhi,Fast Food,250,No,No,1,2.7,Orange,Average,27
SM Gopal Ice Cream & Cakes,New Delhi,"Ice Cream, Desserts",200,No,No,1,3.2,Orange,Average,15
Bangla Sweet Corner,New Delhi,"Chinese, North Indian, Mithai, Street Food",400,No,No,1,2.6,Orange,Average,32
Chinois,New Delhi,Asian,1500,Yes,No,3,3.0,Orange,Average,7
Dawat,New Delhi,"North Indian, Chinese, Mughlai",450,No,No,1,2.9,Orange,Average,49
Establishment Ristorante,New Delhi,Bakery,400,No,No,1,3.1,Orange,Average,12
Ganesha Sweets & Restaurant,New Delhi,"North Indian, Mithai, Street Food",500,No,No,2,2.6,Orange,Average,26
Gopala,New Delhi,"Mithai, Street Food",250,No,No,1,3.3,Orange,Average,25
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,No,No,1,2.9,Orange,Average,12
Hot Chimney,New Delhi,"North Indian, Chinese, Mughlai",850,Yes,No,2,2.5,Orange,Average,55
Icon,New Delhi,"Chinese, North Indian",1000,Yes,No,3,3.2,Orange,Average,18
Juneja's Eating Plaza,New Delhi,"North Indian, Mughlai, Chinese, Fast Food",700,No,Yes,2,3.4,Orange,Average,98
Lodhi Knights,New Delhi,Fast Food,200,No,No,1,3.1,Orange,Average,8
Ram Singh's Bhoj,New Delhi,"Mithai, Street Food",350,No,No,1,2.9,Orange,Average,6
Republic of Chicken,New Delhi,"Raw Meats, Fast Food",400,No,No,1,2.7,Orange,Average,10
Slice of Italy,New Delhi,"Italian, Pizza, Bakery",700,Yes,Yes,2,3.3,Orange,Average,171
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,3.2,Orange,Average,66
The Altitude Cafe and Deli,New Delhi,Cafe,600,No,No,2,3.1,Orange,Average,11
Tokyo Mon Amour,New Delhi,"Japanese, French",2200,Yes,No,4,3.1,Orange,Average,10
Bhane,New Delhi,Ice Cream,300,No,No,1,3.6,Yellow,Good,26
Celeste,New Delhi,"Cafe, Desserts, Bakery",500,No,No,2,3.5,Yellow,Good,14
Chidambaram's New Madras Hotel,New Delhi,"South Indian, Fast Food",400,No,Yes,1,3.8,Yellow,Good,330
CJ's Fresh,New Delhi,"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",1000,No,Yes,3,3.8,Yellow,Good,25
Elma's Brasserie,New Delhi,"American, Continental, Italian, Bakery",2000,Yes,Yes,4,3.7,Yellow,Good,393
Kunafa,New Delhi,"Desserts, Middle Eastern, Turkish",300,No,Yes,1,3.9,Yellow,Good,200
Lahori Gate,New Delhi,"Mughlai, North Indian",1800,Yes,Yes,3,3.5,Yellow,Good,148
M I Food Center,New Delhi,"North Indian, Mughlai, Chinese",600,No,No,2,3.8,Yellow,Good,202
Sugar Blossoms,New Delhi,"Desserts, Bakery",300,No,No,1,3.6,Yellow,Good,58
Eywa by Saby @ Celeste,New Delhi,Cafe,1000,Yes,No,3,0.0,White,Not rated,2
Cafe Coffee Day,New Delhi,Cafe,450,No,No,1,2.3,Red,Poor,52
Guppy,New Delhi,"Japanese, Sushi",2900,Yes,No,4,4.1,Green,Very Good,665
Ping's Caf�� Orient,New Delhi,Asian,2100,Yes,No,4,4.1,Green,Very Good,278
The All American Diner,New Delhi,"American, Fast Food",1000,No,No,3,4.1,Green,Very Good,3495
Armaan's Restaurant,New Delhi,"North Indian, South Indian, Chinese",500,No,No,2,2.8,Orange,Average,8
Garden Chef,New Delhi,Chinese,450,No,No,1,3.0,Orange,Average,63
Golooji's Chat Waat,New Delhi,Street Food,400,No,No,1,3.3,Orange,Average,13
Oriental Lee,New Delhi,"Chinese, Thai",500,No,No,2,2.7,Orange,Average,19
Peshawari Restaurant,New Delhi,"North Indian, Chinese",700,No,No,2,3.1,Orange,Average,55
Tikka Town,New Delhi,North Indian,550,No,No,2,3.1,Orange,Average,53
Titu Restaurant,New Delhi,North Indian,300,No,No,1,2.9,Orange,Average,13
Vijay Dhaba,New Delhi,North Indian,150,No,No,1,2.9,Orange,Average,7
Wild Willy,New Delhi,"Pizza, Fast Food",500,No,No,2,3.2,Orange,Average,19
Diva Spiced,New Delhi,"Asian, Chinese",2000,Yes,No,4,3.7,Yellow,Good,131
Granma's Homemade,New Delhi,"Bakery, Desserts, Fast Food",200,No,No,1,3.6,Yellow,Good,25
Karim's,New Delhi,"North Indian, Mughlai",1000,Yes,No,3,3.8,Yellow,Good,194
Sab Ki Khatir,New Delhi,Mughlai,450,No,No,1,3.7,Yellow,Good,162
Golden Bakery,New Delhi,Bakery,400,No,No,1,0.0,White,Not rated,1
Krishan Sweets,New Delhi,Mithai,250,No,No,1,0.0,White,Not rated,2
Rai Ji Caterers,New Delhi,North Indian,400,No,No,1,0.0,White,Not rated,0
Szoun Chinese Food,New Delhi,Chinese,300,No,No,1,0.0,White,Not rated,0
Yummy Mummy @ Delhi,New Delhi,"Bengali, North Indian",300,No,No,1,0.0,White,Not rated,2
Lodi - The Garden Restaurant,New Delhi,"European, Lebanese, Mediterranean",2600,Yes,Yes,4,4.2,Green,Very Good,2549
Aggarwal Sweets & Restaurant,New Delhi,"North Indian, Mithai, South Indian, Street Food, Fast Food",400,No,No,1,2.7,Orange,Average,11
Ashirwad Dhaba,New Delhi,North Indian,200,No,No,1,2.9,Orange,Average,5
Barichi Restaurant,New Delhi,"North Indian, South Indian, Chinese",1000,Yes,No,3,2.9,Orange,Average,7
Bikaner Sweets,New Delhi,Mithai,200,No,No,1,2.7,Orange,Average,14
Bikaner,New Delhi,"Mithai, North Indian, South Indian, Chinese, Street Food",600,No,No,2,2.9,Orange,Average,6
Chatori Zubaan 2,New Delhi,"North Indian, Chinese",550,No,No,2,3.0,Orange,Average,5
Chinese Mania,New Delhi,Chinese,300,No,No,1,3.2,Orange,Average,17
Da Pizza Corner,New Delhi,"Fast Food, Pizza",600,No,Yes,2,2.5,Orange,Average,6
Dhaba Cash 'N' Carry Kitchen,New Delhi,North Indian,600,No,No,2,3.1,Orange,Average,16
Dom Dang Kins Restaurant,New Delhi,Chinese,400,No,No,1,3.1,Orange,Average,12
First Choice,New Delhi,"North Indian, Chinese, Fast Food",600,No,No,2,2.9,Orange,Average,11
Hungry Hut,New Delhi,"North Indian, Chinese, Mughlai",700,No,No,2,3.1,Orange,Average,6
Le Seasons Restaurant,New Delhi,"North Indian, Chinese",950,Yes,No,2,2.8,Orange,Average,17
Moti Mahal Delux,New Delhi,"North Indian, Mughlai, Chinese",800,Yes,No,2,3.0,Orange,Average,22
Popsy's,New Delhi,"North Indian, South Indian, Continental, Fast Food",550,No,No,2,3.0,Orange,Average,5
Prabhu,New Delhi,"Fast Food, North Indian, Bakery",500,No,No,2,3.1,Orange,Average,8
Saptagiri,New Delhi,"North Indian, Mughlai, Chinese, Continental, Fast Food",900,Yes,No,2,2.8,Orange,Average,10
Spice Hut,New Delhi,"North Indian, Fast Food, Biryani",500,No,No,2,2.9,Orange,Average,15
Taste of Vishal,New Delhi,"North Indian, Chinese",900,Yes,No,2,2.9,Orange,Average,6
The Tandoori Night,New Delhi,"Biryani, Chinese, North Indian",300,No,No,1,2.8,Orange,Average,5
Traffic Jaam,New Delhi,"North Indian, Chinese",550,No,No,2,2.9,Orange,Average,5
Tripti,New Delhi,"North Indian, Chinese, Mughlai, South Indian",1000,Yes,No,3,3.1,Orange,Average,16
Uttaranchal Dhaba & Restaurant,New Delhi,North Indian,200,No,No,1,2.9,Orange,Average,5
Wah Ji Wah,New Delhi,"North Indian, Chinese",450,No,No,1,2.9,Orange,Average,6
Resto 37,New Delhi,"North Indian, Chinese, Continental, Fast Food",700,No,No,2,3.9,Yellow,Good,23
Aakash Sweets & Caterers,New Delhi,"Mithai, Street Food",150,No,No,1,0.0,White,Not rated,0
Aapka Mangal Restaurant,New Delhi,North Indian,500,No,No,2,0.0,White,Not rated,0
Al-Karim,New Delhi,North Indian,350,No,No,1,0.0,White,Not rated,0
Apna Dhaba,New Delhi,North Indian,150,No,No,1,0.0,White,Not rated,1
Burger Wala,New Delhi,"Burger, Fast Food",200,No,No,1,0.0,White,Not rated,1
Cafe Highway,New Delhi,"Fast Food, Chinese",250,No,No,1,0.0,White,Not rated,0
Cake Point,New Delhi,"Bakery, Desserts",600,No,Yes,2,0.0,White,Not rated,0
Chatori Zubaan Chur Chur Naan,New Delhi,North Indian,100,No,No,1,0.0,White,Not rated,0
Coffee Shop,New Delhi,"Cafe, North Indian, Continental",1000,No,No,3,0.0,White,Not rated,0
Colonel's Kebabs & Curries,New Delhi,"North Indian, Chinese, Mughlai",600,No,No,2,0.0,White,Not rated,0
Dhaba Cash 'n' Carry Kitchen Chur Chur Naan,New Delhi,North Indian,150,No,No,1,0.0,White,Not rated,0
Dolphin - The Food Cafe,New Delhi,"North Indian, Mughlai, Chinese",300,No,No,1,0.0,White,Not rated,0
First Treat Bakers,New Delhi,Bakery,300,No,No,1,0.0,White,Not rated,2
Flavours Of Delhi,New Delhi,"North Indian, Chinese, Fast Food",650,No,No,2,0.0,White,Not rated,0
Foresto Lawn & Restaurant,New Delhi,"North Indian, Mughlai, Chinese",600,No,No,2,0.0,White,Not rated,2
Jain Sweets & Bakers,New Delhi,"North Indian, Mithai",300,No,No,1,0.0,White,Not rated,1
JD's Restaurant,New Delhi,"North Indian, Chinese",350,No,No,1,0.0,White,Not rated,0
Just Vada Pav,New Delhi,Street Food,150,No,No,1,0.0,White,Not rated,0
Kaka De Dhaba,New Delhi,North Indian,350,No,No,1,0.0,White,Not rated,0
Kolcata Bengali Dhaba,New Delhi,North Indian,100,No,No,1,0.0,White,Not rated,0
Kukkuu Da Dhaba,New Delhi,North Indian,400,No,No,1,0.0,White,Not rated,3
M&S Coffee Cafe,New Delhi,Fast Food,450,No,No,1,0.0,White,Not rated,3
Malabar Style Kitchen,New Delhi,Kerala,350,No,No,1,0.0,White,Not rated,0
Mathura Lassi Wala,New Delhi,"North Indian, Chinese, South Indian",250,No,No,1,0.0,White,Not rated,0
Metropolitan Cafe,New Delhi,"North Indian, Chinese",500,No,No,2,0.0,White,Not rated,1
Mr. Bake,New Delhi,Bakery,250,No,No,1,0.0,White,Not rated,2
Mughal-E-Zaika,New Delhi,"Mughlai, North Indian",500,No,No,2,0.0,White,Not rated,0
Mukesh Bhojnalaya,New Delhi,North Indian,300,No,No,1,0.0,White,Not rated,0
New Royal Blue Dhaba,New Delhi,North Indian,300,No,No,1,0.0,White,Not rated,0
New Sharma Chicken Corner,New Delhi,"North Indian, Biryani",150,No,No,1,0.0,White,Not rated,2
Pakwan,New Delhi,"North Indian, Chinese, Fast Food",500,No,No,2,0.0,White,Not rated,1
Pizza Corner,New Delhi,"Pizza, Fast Food",250,No,No,1,0.0,White,Not rated,2
Pokhreli Kitchen,New Delhi,"South Indian, Nepalese",450,No,No,1,0.0,White,Not rated,1
Rasoi,New Delhi,North Indian,500,No,No,2,0.0,White,Not rated,1
Satya Dhaba,New Delhi,North Indian,450,No,No,1,0.0,White,Not rated,2
Sha-O-Lin Chinese Fast Food,New Delhi,Chinese,300,No,No,1,0.0,White,Not rated,1
Shahi Chicken Corner,New Delhi,Mughlai,300,No,No,1,0.0,White,Not rated,1
Shama Muradabadi,New Delhi,"North Indian, Biryani",250,No,No,1,0.0,White,Not rated,2
Sunil Punjabi Dhaba,New Delhi,North Indian,150,No,No,1,0.0,White,Not rated,0
Sunita Dhaba,New Delhi,North Indian,250,No,No,1,0.0,White,Not rated,0
Taste of India,New Delhi,"North Indian, Mughlai, Chinese",1000,Yes,No,3,0.0,White,Not rated,0
U.P. Al-Flah Restaurant,New Delhi,Biryani,350,No,No,1,0.0,White,Not rated,0
Vaishno Da Dhaba,New Delhi,North Indian,200,No,No,1,0.0,White,Not rated,0
Yadav Sweets,New Delhi,"Mithai, Street Food",150,No,No,1,0.0,White,Not rated,1
The Cavalry Bar - Maidens Hotel,New Delhi,Finger Food,2000,Yes,No,4,2.7,Orange,Average,17
The Curzon Room - Maidens Hotel,New Delhi,"European, North Indian",3200,Yes,No,4,3.4,Orange,Average,39
The Garden Terrace - Maidens Hotel,New Delhi,"North Indian, Continental",3000,Yes,No,4,3.3,Orange,Average,57
Ama Rabsel House,New Delhi,"Chinese, North Indian",500,No,No,2,3.0,Orange,Average,8
Cafe Plus,New Delhi,Cafe,500,No,No,2,3.2,Orange,Average,13
Hornbill,New Delhi,"Naga, Chinese",450,No,No,1,3.1,Orange,Average,7
Orange Cafe & Restaurant,New Delhi,"Tibetan, Chinese",450,No,No,1,3.1,Orange,Average,8
ABC Restaurant,New Delhi,"North Indian, Chinese",300,No,No,1,0.0,White,Not rated,0
Achi Restaurant,New Delhi,Chinese,400,No,No,1,0.0,White,Not rated,1
Asian House Restaurant,New Delhi,"Tibetan, South Indian, North Indian",400,No,No,1,0.0,White,Not rated,0
Cafe 59,New Delhi,"Cafe, North Eastern",600,No,No,2,0.0,White,Not rated,0
Drepung Loselling,New Delhi,"Tibetan, Chinese",400,No,No,1,0.0,White,Not rated,3
Dus Bab,New Delhi,Tibetan,500,No,No,2,0.0,White,Not rated,0
DZI House,New Delhi,"North Indian, Chinese, Tibetan",550,No,No,2,0.0,White,Not rated,0
Good Luck Cafe,New Delhi,Ice Cream,250,No,No,1,0.0,White,Not rated,0
Kathmandu,New Delhi,Chinese,300,No,No,1,0.0,White,Not rated,0
Kullu Manali Restaurant,New Delhi,"Tibetan, Chinese, North Indian",400,No,No,1,0.0,White,Not rated,0
Lhamo's Kitchen,New Delhi,Nepalese,300,No,No,1,0.0,White,Not rated,0
Lhasa Manthang Restaurant,New Delhi,"Tibetan, Chinese",300,No,No,1,0.0,White,Not rated,0
Lhasa Thali House,New Delhi,Nepalese,300,No,No,1,0.0,White,Not rated,0
Little Tibet,New Delhi,"Cafe, Tibetan",300,No,No,1,0.0,White,Not rated,0
Lotus House Restaurant,New Delhi,"Tibetan, Chinese",600,No,No,2,0.0,White,Not rated,1
Mahi Rasoi,New Delhi,"North Indian, South Indian, Fast Food",400,No,No,1,0.0,White,Not rated,0
New Open Restaurant,New Delhi,"Nepalese, Tibetan",300,No,No,1,0.0,White,Not rated,0
Rooftop Restaurant,New Delhi,Chinese,450,No,No,1,0.0,White,Not rated,3
Somang House Restaurant,New Delhi,"Asian, Chinese",500,No,No,2,0.0,White,Not rated,0
Tandoori Khazana,New Delhi,"North Indian, Fast Food",350,No,No,1,0.0,White,Not rated,0
Tsopema Restaurant,New Delhi,"Tibetan, Chinese, North Indian",600,No,No,2,0.0,White,Not rated,1
33 Food,New Delhi,"North Indian, Mughlai",700,No,Yes,2,3.2,Orange,Average,93
Burger Point,New Delhi,"Burger, Fast Food",400,No,No,1,3.3,Orange,Average,78
Cafe Blur,New Delhi,"Cafe, Chinese",450,No,No,1,3.1,Orange,Average,7
Cafe Coffee Day,New Delhi,Cafe,450,No,No,1,2.5,Orange,Average,52
Cafe Rendezvous,New Delhi,"Mexican, Italian, North Indian, Continental, Asian",1550,Yes,Yes,3,3.3,Orange,Average,191
Cakes & Bakes,New Delhi,"Bakery, Desserts",500,No,No,2,3.4,Orange,Average,75
Chatorey Chacha,New Delhi,"Street Food, North Indian",350,No,No,1,3.3,Orange,Average,51
Chilli Dragon,New Delhi,"Chinese, Thai",650,No,Yes,2,3.3,Orange,Average,35
DCK- Dana Choga's Kitchen,New Delhi,"North Indian, Mughlai",800,No,Yes,2,3.4,Orange,Average,297
Divya's Rimpy Restaurant,New Delhi,"North Indian, Chinese, Mughlai",800,No,No,2,3.2,Orange,Average,245
Express Dhaba,New Delhi,"North Indian, Chinese, Mughlai",650,No,Yes,2,2.7,Orange,Average,68
Go Foodie,New Delhi,"North Indian, Chinese",500,No,No,2,3.3,Orange,Average,105
Health Pan,New Delhi,Healthy Food,200,No,Yes,1,3.4,Orange,Average,45
Karim's,New Delhi,"Mughlai, North Indian",800,Yes,Yes,2,3.0,Orange,Average,183
Karuna,New Delhi,South Indian,200,No,No,1,3.0,Orange,Average,15
Kathi,New Delhi,"North Indian, Fast Food, Chinese",400,No,Yes,1,2.8,Orange,Average,75
King Chilly Kitchen,New Delhi,"Chinese, Tibetan",400,No,Yes,1,3.2,Orange,Average,17
Kolhapuri Veg Non-Veg Foods,New Delhi,Maharashtrian,300,No,Yes,1,3.3,Orange,Average,20
Mehfil Dhaba,New Delhi,"Fast Food, North Indian",300,No,No,1,3.4,Orange,Average,214
Moti Mahal Delux - Legendary Culinary,New Delhi,"North Indian, Chinese",600,No,Yes,2,2.6,Orange,Average,146
Open Oven,New Delhi,"Bakery, Desserts, Fast Food",250,No,Yes,1,3.4,Orange,Average,103
Paapi Paet,New Delhi,"Fast Food, Beverages",550,No,Yes,2,3.3,Orange,Average,250
Pepper Corn Express,New Delhi,"North Indian, Chinese, Fast Food",800,No,Yes,2,3.4,Orange,Average,50
Pinch Of China,New Delhi,Chinese,400,No,No,1,3.2,Orange,Average,14
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,No,Yes,2,2.8,Orange,Average,120
Punjabee's Darbar,New Delhi,"North Indian, Chinese",700,No,Yes,2,3.0,Orange,Average,34
Ramjee's,New Delhi,"Street Food, North Indian",150,No,Yes,1,3.3,Orange,Average,62
Rollmaal,New Delhi,"Fast Food, North Indian, Chinese",500,No,Yes,2,3.4,Orange,Average,218
Shaolin,New Delhi,Chinese,800,No,Yes,2,3.4,Orange,Average,217
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,2.8,Orange,Average,183
The Chocolate Room,New Delhi,"Cafe, Italian, Mexican, Salad, Desserts",850,Yes,Yes,2,3.4,Orange,Average,155
The Delhi Heights,New Delhi,"North Indian, Mughlai, Chinese",800,Yes,Yes,2,2.8,Orange,Average,198
Thok (The House of Kakori),New Delhi,"North Indian, Mughlai, Chinese",600,No,Yes,2,3.4,Orange,Average,485
Uloo,New Delhi,"North Indian, Mughlai, Chinese",600,No,Yes,2,3.2,Orange,Average,134
Vadapav Junction & More,New Delhi,"Street Food, Fast Food",350,No,Yes,1,3.3,Orange,Average,37
Behrouz Biryani,New Delhi,Biryani,600,No,Yes,2,3.6,Yellow,Good,61
Beliram Degchiwala,New Delhi,"North Indian, Mughlai, Chinese",900,No,Yes,2,3.5,Yellow,Good,226
Bhukkhar,New Delhi,"North Indian, Chinese, Mughlai",500,No,Yes,2,3.9,Yellow,Good,100
Biryani Blues,New Delhi,"Biryani, Hyderabadi",1000,No,Yes,3,3.9,Yellow,Good,113
Bun Intended,New Delhi,"Burger, American, Fast Food",850,No,Yes,2,3.9,Yellow,Good,50
Casa Asia,New Delhi,Chinese,650,No,Yes,2,3.8,Yellow,Good,306
Chic Fish,New Delhi,"North Indian, Chinese",750,No,Yes,2,3.5,Yellow,Good,361
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",600,No,Yes,2,3.6,Yellow,Good,290
Farratta,New Delhi,"North Indian, Chinese",800,No,Yes,2,3.7,Yellow,Good,93
Flavors of Chennai,New Delhi,South Indian,400,No,Yes,1,3.7,Yellow,Good,370
Food For Thought,New Delhi,"North Indian, Italian",700,No,Yes,2,3.8,Yellow,Good,55
FreshMenu,New Delhi,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,No,Yes,2,3.7,Yellow,Good,132
Giani's,New Delhi,"Ice Cream, Desserts",400,No,Yes,1,3.7,Yellow,Good,145
Gopala,New Delhi,"Mithai, Street Food",250,No,No,1,3.8,Yellow,Good,45
